time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
135900,0.02728203652558392,0.005883886992840814,0.08166384067079235,0.1277489013628781,0.2835770957629151,0.06382654372269059,0.16691367382671274,0.04858161800363803,0.11871095478630878,0.07513139303786431,0.05382984587031814,5.794852499806904,0.3494439304389161,0.11972425018756638,0.28682565386471026,0.017597266279892665,0.025800924219218757,0.012291786222235146,0.26585315143873345,0.3493108436147949,0.08105947497734434,0.20107988837162338,0.22469953535513554,0.1303761801625356,0.3313113204148692,0.017906977922073963,0.036444123388371,0.026423053382842454,0.04917990089277424,0.039896846839617695
136200,0.044052782312014926,0.0034861783864883478,0.09278759575397544,0.10345265111271829,0.24832496261654313,0.07878906897673232,0.20617243446082512,0.04933250113890608,0.117721885389372,0.07187542247115175,0.10837077025775699,5.160826983550432,0.32027483459539496,0.11925314696575384,0.21601281598110234,0.0140621235984284,0.022966727869643933,0.015335651218244095,0.3020303981447654,0.3593966992862576,0.1350465148694866,0.18433379045122678,0.23933096689465572,0.0949404969746439,0.32761482030243627,0.0180509606187087,0.03621134599991649,0.026008535960080792,0.050845394041502345,0.04080923886628085
136500,0.00025634891890291556,0.0042368447884229,0.06372578014913444,0.110877076679337,0.23492187903202222,0.05303937741052778,0.13120141220809245,0.03892989292794624,0.09433050849396807,0.06129521017503947,0.07536611574220586,4.581842602280201,0.2837662775655758,0.08877546050552354,0.2131441423885363,0.013388127618647161,0.02058779799244803,0.010544746512721304,0.21565607988507196,0.3036861955552226,0.08029887350680553,0.1665905619537611,0.19406704627484572,0.09868757901897851,0.27464098388126246,0.01386566362836561,0.02796594356892257,0.02028644086654907,0.03872795451136568,0.03235484629033891
136800,0.15329833846515584,0.0046509974075163996,0.1358777029035636,0.14447555784725807,0.3489095902148307,0.11300339088307254,0.3057219721867668,0.07170442123108245,0.1723922779877327,0.09872163653712818,0.14553756378013816,7.736057020377402,0.4493745910633393,0.20422550741679402,0.32631040141396994,0.01966932887226136,0.03150933666898936,0.022219639586850803,0.43681350862193113,0.5170815760362615,0.20181164100691262,0.2581831552782887,0.32082747482404983,0.08376743301661804,0.48267953078607206,0.026638960126390998,0.05622499961382488,0.03754299103124481,0.07203331830007187,0.059769810501798304
137100,0.11882193683777587,0.004101759100905156,0.13105079932304164,0.14282214515309022,0.35592517475304675,0.11526401491471461,0.30073297389022713,0.07304814166959517,0.1737943737533456,0.10026642354367254,0.1981643974195677,7.690676841421965,0.4567166759904637,0.19413354535215888,0.32165768518149207,0.019079809233922163,0.03141183922648594,0.02333351214205237,0.4402686301703369,0.5589247184136852,0.22792988742992293,0.26690071349352706,0.3415762824353408,0.10071612617968384,0.49375245350232433,0.026525084473405514,0.05467727055329874,0.03714755354317134,0.07410564286394816,0.06112385859761815
137400,0.026356711936010413,0.004286340188663473,0.08764948813745832,0.1331973542638849,0.2920219819982677,0.07531223717606395,0.18855295837794728,0.05170778732016146,0.12339141759614591,0.07705424212551293,0.13224544023556462,5.798652596903523,0.3545390617703319,0.12284774831483247,0.2530527237715674,0.015655692300192925,0.02503735339334412,0.015263964528884344,0.29747973288287,0.4060193048361427,0.1352140547514722,0.21065299070775723,0.2573947402991337,0.09971483265452008,0.3613780147660819,0.01831213625968786,0.03712864781737579,0.026199125984931015,0.05160799549071271,0.04325782588549032
137700,0.11126088874738116,0.0034936972702865887,0.10441175203741437,0.09831183398016208,0.26186191311989404,0.09146110582910438,0.2463739669167211,0.05747322238379127,0.13789873543235132,0.07747840216618584,0.11886355313058061,5.892049094137221,0.3482155446024109,0.156216973807922,0.25641643399745817,0.015486954393438168,0.024573297874447064,0.017999637816458858,0.34756504145704525,0.39900829716746955,0.1673263173131616,0.1990094883263751,0.25108423802998203,0.10416578472838012,0.37011484042700005,0.021721894437547462,0.04456827242047723,0.030988907374343455,0.060275912278527244,0.04713817210395632
138000,0.1743137061572071,0.0037677481867319784,0.14356887902894044,0.13440916322458207,0.31710282437989434,0.10660658511950771,0.2993352660080646,0.0675752736619657,0.16108413543494038,0.09370167050867906,0.1432978784076866,7.15792583284431,0.4117172239260185,0.20048647979707113,0.27707265400039915,0.017538740348314263,0.029428737501916657,0.02189676339482105,0.43453894993623265,0.45934783364354104,0.20513790883387628,0.23804674454660812,0.2961736816315437,0.050074295248386136,0.4505706264664653,0.025227715580705024,0.05360889451335993,0.03529844401337101,0.06828100288963412,0.05617557751023128
138300,0.17805464791039327,0.002145504946142296,0.14622711642320496,0.11593388002940941,0.3178164997426336,0.1310674651930981,0.3508661480344841,0.0740787635554696,0.1753296134104616,0.09586800735333156,0.2134379025021147,7.257161617825886,0.42800354863371837,0.20991573325245838,0.2701415997214909,0.016223936128469063,0.02866265539276469,0.025795923869033288,0.477933849018072,0.5604787852749169,0.2655449272590076,0.24555553488271187,0.34274737074014183,0.0482137288595581,0.49195728743225686,0.027246434631550187,0.05696452814446218,0.03746711932905811,0.07518157421499438,0.06238608366395937
138600,0.045403948486971046,0.003521181199936052,0.08266424221764623,0.11491890874326316,0.24843325759670876,0.06525711248339405,0.16794026508532767,0.046146261107672615,0.11040838083113158,0.0690819711086803,0.12275942692333075,5.082426936721276,0.30899871774015963,0.11590744123335384,0.2114418197948993,0.01352881403758488,0.02222965836687507,0.014128875494776594,0.2734578088303863,0.3416893084168251,0.13207628826628337,0.18326688278693837,0.21779718025467787,0.08686486794507431,0.319585479273357,0.016630493686982106,0.03415689299319524,0.023716365781304205,0.04649178556518052,0.03837564255906045
138900,0.1135046165743745,0.006822755280097681,0.04651424923626735,0.12850104286214759,0.2641051120110376,0.030057135226108755,0.06072159943256139,0.03463516384962162,0.08488680835924356,0.06639137352285474,0.03942477532357458,4.695732767792599,0.3100989695723797,0.049288750934096015,0.2616638687027475,0.01669902474015572,0.023955264459083025,0.006558713978876085,0.16019536708840576,0.282943495419552,0.017253682685051785,0.18266797257391687,0.19145934974261536,0.17970615965972314,0.25035378361417315,0.011730971535719448,0.021073591568061545,0.01846872880064865,0.03531879470128274,0.028253813915029014
139200,0.14598884731804418,0.0037213865554974745,0.13193057098335714,0.11817372510255808,0.3097021116075851,0.10811516092094564,0.2956838528234087,0.06736714349720785,0.16006624341604692,0.09080346912716664,0.15009768707334104,6.969417166286522,0.406647354409003,0.18878831037395827,0.28961413856959695,0.017458565169668816,0.028487709498840275,0.02152856301862016,0.4192623959664772,0.4756856122987543,0.20328001428718068,0.23422624281356974,0.3006892163088395,0.08071640984827155,0.44048193094078414,0.025067204328735215,0.05191910854308901,0.03522571486875847,0.06944050004336333,0.055894613283776096
139500,0.05179446966548795,0.0035625342794105563,0.07859354671286667,0.13749959695295644,0.2524259729000775,0.05838168514780051,0.15072044323111555,0.04102002917205283,0.09919736971784943,0.06414874159328576,0.09814425799750381,4.945035964373986,0.29260548520701235,0.11178442301487479,0.19028411471448692,0.012620117555492527,0.02097715934500144,0.012235681682660982,0.24655507978837932,0.3163269091382688,0.10463795141727417,0.17600971100181795,0.20259499487172405,0.0316618842920704,0.30718277845564046,0.014456422910235744,0.03162781387350577,0.020403703107952254,0.037765777491856056,0.03486509746065991
139800,0.11867704010617786,0.0032799026618093308,0.10537853304976608,0.10612734406619495,0.26665990337343004,0.09102562197308117,0.24439086526608378,0.05709339529374802,0.13679507236047073,0.07719443788198532,0.1291951416324153,5.949576753367872,0.34861337043305696,0.1591496192370485,0.24901549683568192,0.015043571120429533,0.024341159550310465,0.018102346740128894,0.34786179304555986,0.40665141258723736,0.17161952390388535,0.2007059178271433,0.2531943496471243,0.07883618057521602,0.3776335909160622,0.021316580810974983,0.04449424857315876,0.030074408414272114,0.058358097427671396,0.04738411668798648
140100,0.0381793497751417,0.004520249736565063,0.07062407637188528,0.1174457115087364,0.2575418315510163,0.06413920408309082,0.16182872811218374,0.045228805026368946,0.11047185045659802,0.06674501758377005,0.07987248994346885,5.263362092484101,0.3152736759910013,0.11446112000367492,0.24899880028639387,0.014913053649344477,0.022378359269715986,0.012310012088569522,0.24748181494868504,0.34642194802964354,0.09705796242192832,0.18313839419587907,0.21209008746379965,0.10115181261376449,0.3154960847130752,0.01651408963615353,0.03429745096279646,0.023921883817557443,0.04476022058673834,0.037632870996709755
140400,0.20121591243233894,0.0016210572919206356,0.13092393676546976,0.1177473606146009,0.2668030237190706,0.10325945534973613,0.28775536417431624,0.06142440224502366,0.14587954962507155,0.08049518280176216,0.1746528771849114,6.182700758311682,0.34826529443857623,0.19271211109278852,0.20362672971867113,0.013169902395951283,0.02407890427803494,0.021780468484898563,0.40828815384466566,0.4169377013949429,0.22832658197474842,0.204724203476637,0.26315859057139335,0.005569445249975047,0.41316501251544935,0.02302598246866694,0.05027936706346736,0.03154235329934352,0.0612214103115889,0.05140204961002581
140700,0.1082984390986681,0.0031877510146145482,0.1255244490901788,0.119919954233346,0.301581227288267,0.10589809737302147,0.28066837890429497,0.06461189057923633,0.15363414499308448,0.09007721945315694,0.17406854997153687,6.572424031076224,0.3983468831750159,0.17078456012564658,0.2576928419159472,0.016252190963662372,0.02785122050286759,0.021481389224803138,0.40746216777208843,0.4813508769457613,0.2107592361637458,0.22998808547713878,0.30344956744378493,0.08615809304584587,0.43154632088694456,0.023646984615872668,0.048476567905623824,0.03320324811699038,0.06620962487993864,0.05388652486865908
141000,0.19680953015141256,0.0028895435229685518,0.15821452102845512,0.14463609609827444,0.35963477898665985,0.1359930290124467,0.36478249315172917,0.08162777291590118,0.19447763187140055,0.10868938608522427,0.23603987788052905,8.157303853127601,0.4786532098270868,0.2332048123208068,0.30063462253354345,0.018759051644998692,0.032935209874565885,0.028113612429400803,0.5206599961110285,0.5876920113910415,0.2911140323759298,0.277840581008185,0.36420101168543795,0.07461018588774238,0.5437582207994609,0.03033259481731676,0.06397009173903001,0.042102546807036845,0.08292272727177874,0.06817882223528215
141300,0.17523625711258006,0.005111757580401388,0.15638126053090673,0.17571336565539042,0.4047759527289685,0.12619827880834578,0.3412829384965619,0.08172410906960437,0.19559589674160804,0.11324777505776495,0.18598522531226536,8.812404155880216,0.5126837785237726,0.23310840792495213,0.3628609184676179,0.02207637826502662,0.0359752397391091,0.025582412024057533,0.49971765796985324,0.5917482382025412,0.23912986769016698,0.2990118987966994,0.3658344719022466,0.08821246852083675,0.5567763173823863,0.03011320779817339,0.06374582450393973,0.04217644701733292,0.08185824941929809,0.06825506148037874
141600,0.16684689996837676,0.003654947882054671,0.1553601033335852,0.15693476112789995,0.38954149029837737,0.14015972691224476,0.3680580709132997,0.08424502818024848,0.20084304798830743,0.11315695767133604,0.238291211554845,8.580660867407147,0.5096322205346127,0.23087872383080565,0.334631277850562,0.020381789720019583,0.03475015114830882,0.028127226411996276,0.5227715818785157,0.634038371623447,0.28335110713685907,0.29553757418714355,0.389647741358381,0.09170287224641527,0.5680439092184315,0.030906701824754634,0.06460701393768176,0.04304385048495618,0.08495492034455765,0.07068758314052559
141900,0.17802702760259592,0.005080780043797972,0.15114383505075324,0.1682004818412537,0.4011425263889592,0.12980742930751177,0.3469054743291622,0.08259249696997273,0.19894938070774515,0.11279720845993069,0.18549318111416824,8.843958589161222,0.5160147968655551,0.23561312472980944,0.37275224627245507,0.022235736954456797,0.03582280209634803,0.025803866292434918,0.49821969281637735,0.6089355245347363,0.242264088955487,0.29763152498095735,0.3672484710245669,0.10029782945453292,0.5611596620446733,0.030609468670299123,0.06487061453120191,0.04290405223695615,0.08262593967621257,0.06912384590238219
142200,0.06507844130240414,0.004947510644960573,0.11175859113434683,0.13805649481503224,0.3212504516669199,0.09205550819270769,0.24161829971665583,0.061439821376360726,0.14742665840888236,0.08994214804411627,0.1262360219158296,6.706565655386832,0.40641032657454446,0.1546012189244692,0.2930164311503134,0.01841283359573964,0.029217416145492336,0.01831629020450265,0.3648136741627255,0.4466087422996736,0.15781054613366763,0.23572481672012202,0.28945956139892814,0.11987826807284563,0.41322353416087765,0.022508883421927806,0.0458169282971852,0.03240535716510351,0.06270443934752734,0.05082319841736194
142500,0.0863284165491649,0.004070592165732023,0.11348570273165137,0.13257724323875664,0.3077370636363739,0.09349728807784174,0.24593197928074062,0.0610330046980323,0.1460846962711173,0.08778301650909981,0.14920994993779146,6.506014957932361,0.39339400256294965,0.15940362074671555,0.2700682659000293,0.016973317279408207,0.027927099072527994,0.019130679109480297,0.3707066273441626,0.45193890906672607,0.17835585060117864,0.229054986667947,0.284378129324935,0.09971563817072848,0.41440326469354005,0.022290100069753294,0.04589758029356972,0.03159689902986429,0.06198767543682493,0.05078743637603367
142800,0.2584609921108765,0.003328849760293906,0.19211923284585453,0.1706407932851164,0.4183734190956869,0.1584920091721571,0.433069240481494,0.09393557749680781,0.22333976676204514,0.12435652761289617,0.2542613701189964,9.564680210135773,0.5507229066880726,0.28044165136421384,0.3482919238540916,0.021462982094220706,0.03772102375898356,0.03224805553787036,0.608650715721545,0.6796775473229104,0.3275917428472326,0.3190081355841059,0.4196194433645033,0.039823509237308485,0.6326210395707363,0.03477365050798653,0.07442764925620082,0.0478234461076994,0.09388587511108426,0.07898560290362866
143100,0.20046128171779287,0.0033235162615170566,0.15757860215515507,0.1584983833156457,0.37216203575383133,0.1325753615578904,0.3568405420847327,0.08010355455535745,0.19135564347857326,0.10787983508466681,0.21771874320263862,8.314450979288775,0.48185236693107214,0.23466330684434666,0.30979006584164637,0.01909073395952987,0.03307805593777857,0.027033700735451305,0.5089747083347191,0.5901746674053214,0.27193854155297714,0.28059739444335463,0.36147920747509943,0.049871350032759665,0.5460722317666367,0.029532615327937606,0.06321903389201822,0.040821366102441914,0.07958123967848962,0.06732792827313006
143400,0.13831510427889526,0.003316454054477447,0.1534471766602934,0.14166342643087404,0.36038443589646363,0.13080921480706564,0.3460621882295811,0.07930973615881243,0.18757915455797303,0.10888278796763728,0.23354413653161288,7.881749797112388,0.4782303197379747,0.20922178446794248,0.29986731115933196,0.019018359973763665,0.03323256380734563,0.026939774929743976,0.5030148608117315,0.585077281877588,0.2737999915799918,0.2778343672375527,0.37048081968615776,0.10157583448891927,0.5268762527603386,0.029008652435017268,0.05937706172970536,0.0405416156972791,0.08165464739155937,0.06618173714100095
143700,0.07591821520105668,0.006170882855904836,0.1439913011351095,0.17169801985962607,0.42623601490460317,0.12786318216061687,0.32647765258980854,0.08401847868042722,0.2017311268175277,0.12126541711448624,0.2039266305023446,8.966009100959901,0.5524471473472801,0.20597743253082257,0.39922355722691805,0.024312883997879453,0.03891832672491091,0.02559478532924686,0.4922991309027651,0.6485540181419012,0.2345697862748608,0.3182886913087586,0.40026684007225555,0.17941061396278712,0.567823532401313,0.030508388281369037,0.061447017288649874,0.0435718498430262,0.08609953123200142,0.06995084865786083
144000,0.097578317392923,0.005387299393881051,0.15098784638237817,0.1660880543537715,0.4115921596945782,0.13067455406355322,0.33978686865784624,0.08330807397688034,0.19876238733788654,0.11843575044872523,0.2081125772366903,8.728310432060958,0.5332967534501307,0.20915965386596724,0.3702083895531061,0.022934436819362247,0.03752847306103746,0.026171864294418867,0.5029611756796157,0.6266642409758916,0.24464670455868998,0.30857829814278404,0.395903765211294,0.1501082736363557,0.5578382149609382,0.030347246129430516,0.061428684707642844,0.04313557848101368,0.085489243485938,0.06932063451947101
144300,0.17936421125901347,0.00405869204856657,0.15730112376247263,0.14712313204856287,0.38836955905271964,0.14065193948016486,0.3739947208535739,0.08608226047364553,0.20533397333336723,0.11415068406247286,0.22415447842415404,8.734928618589748,0.514330756002586,0.23771881723617128,0.35809075239043153,0.021328456809847296,0.03532664635938687,0.028202459765658716,0.528595294117423,0.6292090365377092,0.2804759358925608,0.2968445516121463,0.3856675644736214,0.11444309073231551,0.5670139398947143,0.03197830191978568,0.06633723960388949,0.04478749729862841,0.08846663394445642,0.07164442744572597
