time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
535500,0.5930915536796242,1.1282577702852805,0.9867822375183621,0.03097398994122358,0.0011783161157481459,0.019041928734026214,0.04556588993881405,0.07464804912392964,0.00301963796647442,0.0009792892257607377,0.007546645217836101,0.025515560017424832,0.013877628933080643,0.0503020589239469,0.9155808670779848,0.1054341145676716,0.006894867628474799,0.009844626910584964,0.0041874226630298494,0.005024096488405405,0.005024934328680786,0.07352515804204529,0.08939313343570632,0.05313923030281131,0.06263736980579893,0.049730543004343986,0.06087696838943657,0.09734104845119163,0.002437900463355902,0.005368625331335863,0.00423193987536763,0.007912352501023179,0.006502463459632679
535800,0.6667030003130883,1.2633820206155164,1.1232760560456612,0.030817824626623747,0.0013054298181174318,0.02317441138043108,0.05446481171418327,0.0906335304048227,0.004320974581133896,0.003025502753814635,0.009248156423019793,0.030828534407561392,0.016078427278308993,0.06053013858359435,1.1430580185252879,0.12450691393313917,0.010781139518421412,0.013309136935426125,0.004857056876304,0.005796382832599534,0.006060597609256035,0.08893920258522314,0.11094283303307151,0.06446883065678577,0.07469336444982133,0.06057075680353563,0.06449958119831933,0.11910151643692757,0.002965255164504299,0.0067392860848656255,0.005029269204591458,0.009480445923898628,0.008056789953272414
536100,0.7875151283864135,1.4747542245587013,1.3769719556778242,0.029482628730072236,0.0014673460203198374,0.031082041508476266,0.06340485711544375,0.11134953443045248,0.00745672186088342,0.009048972445683034,0.012088627919723649,0.03962657677962511,0.01939546404452841,0.0721732513625355,1.4701111914000435,0.15264917419030866,0.017047833353892372,0.018576941807118885,0.005901427167707141,0.006946198581466945,0.007791766448875137,0.11659029527238829,0.14230757889644963,0.08119767265733202,0.0910833652292169,0.0785042688204598,0.07123648174658825,0.15026150892153822,0.003923263595574156,0.009057005113589867,0.00654320168211342,0.01241153723985633,0.01055775765261302
536400,0.8704257420319941,1.667778137938022,1.414107268995643,0.05106337991303889,0.001387759419252177,0.02157574465412182,0.06359480205001944,0.09310003774012898,0.0010228951006965303,0.006289194864329772,0.008447807609343272,0.029591280997195213,0.01829585361221575,0.07474362833624326,1.037939500640796,0.13344857233703777,0.003242404713382996,0.004113883673042551,0.004945620194675371,0.006564913800602312,0.006305667373347035,0.0865142891951578,0.10889941557473293,0.07215134116695054,0.08038891120895642,0.05930149743819868,0.08346448436657283,0.12057018534524389,0.002596136110064151,0.00559085095201084,0.0046084418750069744,0.008554095159979624,0.00735845555789183
536700,0.735897196005336,1.4002019744164969,1.2235785658762026,0.041188567140643784,0.0014994722697139196,0.022797120302790574,0.05762239551791026,0.09502018063799511,0.003300447211003643,0.00011321157541033244,0.009185380647430463,0.030967609106518523,0.01716821979771055,0.06409944652224908,1.1569342618911733,0.13174292148971034,0.00760317661548271,0.013084985803679672,0.005191999909875733,0.006225315573708201,0.0060801852268355105,0.08847247397695668,0.11427439133332484,0.06465096501748491,0.07883333849952123,0.06326776337979112,0.07334852741549014,0.12113392927091127,0.0028813370110682968,0.006294429658439071,0.004993576146688383,0.009436454303823893,0.007996911822417019
537000,0.7987353886732755,1.5113090647937142,1.3521905033661952,0.04823942868507913,0.0014051534503067842,0.020260082695884307,0.05543435020879173,0.08868875739489823,0.002372035838348552,0.002802339762965289,0.008385151037224148,0.028795187729343752,0.016882956363964752,0.06523392411344275,1.0177689268150019,0.1265037142915233,0.003432898145725005,0.008684657502413984,0.0048873073583663995,0.006095430690827186,0.005859881084390395,0.08242442181637699,0.10774662262682,0.06376610939457805,0.0754119770286934,0.05995187064481655,0.07900534780247881,0.11300583834576372,0.0026064961936214104,0.005432299654586359,0.0046313025274429265,0.008758785821214587,0.0072561851740289285
537300,0.7500772430426927,1.43625401982208,1.2212433747746516,0.04784082067556028,0.0015215392550018692,0.018091350821833885,0.05729428446253593,0.08628170415984471,0.0009401998343108176,0.0055185921034492935,0.007478320344418421,0.026362347936881747,0.016199507664168777,0.05903816777235704,0.9660469401096563,0.1211402519242597,0.0022919817036779477,0.008023117073285846,0.004811427105650523,0.0059274444959172,0.005182824061620295,0.07326052978672237,0.09694081816695643,0.05569824213004182,0.07221705539542711,0.05345789289931702,0.07614522651380184,0.10616795637830023,0.002309556154429515,0.0049188314680748135,0.004177466621555936,0.007546787768816898,0.006490339811321633
537600,1.035411695517137,1.9930593393160265,1.6559846934850455,0.07959201637829239,0.002228378220451077,0.014904409454238987,0.07390877163197729,0.10140612775148838,0.004185562305984547,0.019621405789933988,0.00695103601261593,0.026551838509931258,0.019995870953479766,0.07195704291900284,0.9829372955188163,0.14420516911636128,0.0076304679423842,0.005529531224944151,0.005970488618402214,0.007457538321247625,0.005116014552882575,0.06746869846072201,0.09942945443262374,0.05724877142742457,0.0865587040080058,0.05397925907178802,0.11106510973165484,0.11311102908307191,0.002005719169751785,0.003673431347429812,0.004038482154292922,0.007038416583817764,0.005925337959709509
537900,0.7292819442054785,1.4173118469604944,1.127791522102406,0.039715525036925214,0.0013385663534464243,0.024589632612659784,0.05628594737515158,0.08992606268150638,0.0036549482251118093,0.0005524835962447128,0.009443187989326418,0.032361519079138645,0.01794708616131402,0.06790094982419959,1.1123057526886058,0.13352353935633232,0.008377960597549361,0.00860550842962482,0.005086974646800968,0.006426524812177092,0.006656490863804265,0.09534325402503896,0.1137578664023664,0.07300810378725231,0.07824982353096033,0.061891171188619865,0.07881346225431685,0.12375186200392818,0.003059835870551808,0.006778683233768845,0.005300372700112632,0.009828937904842405,0.008185545103266634
538200,0.7909024665099444,1.5243127096687985,1.2595160831710714,0.039868603549464865,0.0017987711051006272,0.03066598016653188,0.06762504825587712,0.11589321080327863,0.005857512676982424,0.004818682216217951,0.012210396777170729,0.04067340058233526,0.021005129143397028,0.07500960289617353,1.4975600447468693,0.16250649986319843,0.01426247349606058,0.019110536953306223,0.006525260208405825,0.007605314799093321,0.007859182349626792,0.11686970919780748,0.1414863930741177,0.08221825996408683,0.09639629745796441,0.07858187107856907,0.08713790887781414,0.15295695852856284,0.003980172595063891,0.008939194494708147,0.006803917364436529,0.012765620892352558,0.010551812998571108
